Hz,vin,vout
1.97696959972382,1,0.0309150982648134
1.98609495162964,1,0.0310576595366001
1.99526226520538,1,0.0312008764594793
2.00447201728821,1,0.0313447527587414
2.0137243270874,1,0.0314892902970314
2.02301907539368,1,0.0316344909369946
2.03235697746277,1,0.0317803621292114
2.04173803329468,1,0.031926903873682
2.0511622428894,1,0.0320741236209869
2.06062984466553,1,0.0322220139205456
2.07014131546021,1,0.0323705896735191
2.07969665527344,1,0.0325198471546173
2.0892961025238,1,0.0326697938144207
2.09893989562988,1,0.0328204296529293
2.10862803459167,1,0.0329717583954334
2.11836123466492,1,0.0331237837672234
2.12813901901245,1,0.0332765020430088
2.13796210289001,1,0.033429928123951
2.14783048629761,1,0.0335840620100498
2.15774440765381,1,0.0337389037013054
2.1677041053772,1,0.0338944531977177
