Hz_real,Hz_imag,vout_real,vout_imag
1.4859356880188,0,-2.3354479461446E-10,4.71513494915143E-10
1.48936104774475,0,-2.34622404837737E-10,4.72596628497968E-10
1.4927943944931,0,-2.35704955553473E-10,4.73682260082597E-10
1.49623560905457,0,-2.3679250227282E-10,4.74770389669033E-10
1.49968481063843,0,-2.37885072751354E-10,4.75860961746122E-10
1.50314199924469,0,-2.38982694744649E-10,4.76954031825017E-10
1.50660705566406,0,-2.40085340497131E-10,4.78049599905717E-10
1.51008009910583,0,-2.41193121031102E-10,4.79147665988222E-10
1.5135612487793,0,-2.42305980835411E-10,4.80248285583684E-10
1.51705038547516,0,-2.43423975421209E-10,4.81351347669801E-10
1.52054750919342,0,-2.44547132544071E-10,4.82456907757722E-10
1.52405273914337,0,-2.45675452203997E-10,4.83565076869752E-10
1.52756607532501,0,-2.4680898991214E-10,4.84675688472436E-10
1.53108751773834,0,-2.47947773424073E-10,4.85788853588076E-10
1.53461694717407,0,-2.49091802739798E-10,4.86904572216673E-10
1.53815460205078,0,-2.50241077859314E-10,4.88022844358227E-10
1.54170048236847,0,-2.51395682049349E-10,4.89143614501586E-10
1.54525446891785,0,-2.52555615309902E-10,4.90266993669053E-10
1.54881656169891,0,-2.53720877640973E-10,4.91392926349477E-10
1.55238699913025,0,-2.54891524553713E-10,4.92521412542857E-10
1.55596566200256,0,-2.56067556048123E-10,4.93652452249194E-10
1.55955255031586,0,-2.57249027635353E-10,4.94786100979638E-10
1.56314766407013,0,-2.58435939315405E-10,4.9592230322304E-10
1.56675112247467,0,-2.59628346599428E-10,4.97061114490549E-10
1.57036280632019,0,-2.60826221731847E-10,4.98202534782166E-10
1.57398283481598,0,-2.62029647979389E-10,4.9934650858674E-10
1.57761132717133,0,-2.63238597586479E-10,5.00493146926573E-10
1.58124804496765,0,-2.64453153819844E-10,5.01642338779362E-10
1.58489322662354,0,-2.65673288923907E-10,5.02794195167411E-10
1.58854675292969,0,-2.6689905840982E-10,5.03948660579567E-10
1.5922087430954,0,-2.68130490033158E-10,5.05105735015832E-10
1.59587919712067,0,-2.69367583793922E-10,5.06265473987355E-10
1.5995579957962,0,-2.70610395203263E-10,5.07427821982986E-10
1.60324537754059,0,-2.71858924261181E-10,5.08592834513877E-10
