Hz,v_input,v_no_filter,vout
2.15774440765381,1,0.00030137159046717,5.69755961160601E-12
2.1677041053772,1,0.000304148066788912,5.75921558707004E-12
2.17770981788635,1,0.000306949979858473,5.82159407486182E-12
2.18776154518127,1,0.000309777678921819,5.88470331491786E-12
2.19785976409912,1,0.00031263122218661,5.94855328189814E-12
2.20800471305847,1,0.000315510988002643,6.01315351678178E-12
2.21819639205933,1,0.00031841712188907,6.07851356054789E-12
2.22843503952026,1,0.000321349914884195,6.14464252049474E-12
2.23872113227844,1,0.000324309599818662,6.21155080496316E-12
2.24905467033386,1,0.000327296438626945,6.27924795493229E-12
2.25943565368652,1,0.000330310635035858,6.3477439450621E-12
2.26986479759216,1,0.000333352450979874,6.41704961737433E-12
2.28034210205078,1,0.000336422148393467,6.48717538020982E-12
2.29086756706238,1,0.000339519989211112,6.5581307745477E-12
2.30144190788269,1,0.000342646206263453,6.62992664240969E-12
2.31206488609314,1,0.000345801061484963,6.70257469317925E-12
2.3227367401123,1,0.000348984845913947,6.77608490151638E-12
2.33345794677734,1,0.000352197763277218,6.85046897680452E-12
2.34422874450684,1,0.000355440133716911,6.92573732738455E-12
2.35504937171936,1,0.00035871219006367,7.00190166263992E-12
2.36591958999634,1,0.0003620142233558,7.07897369195409E-12
2.37684035301209,1,0.000365346495527774,7.1569655583914E-12
2.38781118392944,1,0.000368709268514067,7.23588810397357E-12
2.39883303642273,1,0.000372102833352983,7.31575390544581E-12
2.40990543365479,1,0.000375527451978996,7.39657467219157E-12
2.42102909088135,1,0.000378983444534242,7.47836341463692E-12
2.43220400810242,1,0.000382471043849364,7.5611322758462E-12
2.44343066215515,1,0.000385990570066497,7.64489426624548E-12
2.45470881462097,1,0.000389542314223945,7.72966066153735E-12
2.46603941917419,1,0.000393126538256183,7.81544707423309E-12
2.47742199897766,1,0.000396743562305346,7.90226391267357E-12
2.48885726928711,1,0.000400393706513569,7.99012678937005E-12
2.50034546852112,1,0.000404077203711495,8.07904871474863E-12
2.51188635826111,1,0.00040779440314509,8.16904183187361E-12
2.52348065376282,1,0.000411545624956489,8.26012262061804E-12
2.53512859344482,1,0.000415331101976335,8.35230322404623E-12
2.54683017730713,1,0.000419151212554425,8.44559838730774E-12
2.55858588218689,1,0.000423006218625233,8.54002372291385E-12
2.57039570808411,1,0.000426896498538554,8.63559224129062E-12
2.58226013183594,1,0.000430822343332693,8.73231955494935E-12
2.59417939186096,1,0.000434784073149785,8.83022040903958E-12
2.60615348815918,1,0.000438781979028136,8.92931128343433E-12
2.61818289756775,1,0.000442816439317539,9.02960692328314E-12
2.63026809692383,1,0.000446887745056301,9.1311229410973E-12
2.64240884780884,1,0.000450996245490387,9.23387581674984E-12
2.65460562705994,1,0.000455142260761932,9.33788029539029E-12
2.6668586730957,1,0.0004593261401169,9.44315459161515E-12
2.67916822433472,1,0.000463548261905089,9.54971345057398E-12
2.69153475761414,1,0.000467808917164803,9.65757508686327E-12
2.70395827293396,1,0.000472108455142006,9.76675598035603E-12
2.71643924713135,1,0.000476447283290327,9.87727434564878E-12
2.7289776802063,1,0.000480825663544238,9.98914666261452E-12
2.74157428741455,1,0.000485244003357366,1.01023911458498E-11
2.75422859191895,1,0.000489702681079507,1.02170251425893E-11
2.7669415473938,1,0.000494202016852796,1.03330677347913E-11
2.77971315383911,1,0.000498742505442351,1.04505371370522E-11
2.79254388809204,1,0.000503324321471155,1.05694515639687E-11
2.80543375015259,1,0.000507947930600494,1.06898309648606E-11
2.81838297843933,1,0.000512613682076335,1.08116935543245E-11
2.83139204978943,1,0.000517321983352303,1.09350601490421E-11
2.84446120262146,1,0.000522073241882026,1.10599498309716E-11
2.85759043693542,1,0.000526867806911468,1.11863825494329E-11
2.87078046798706,1,0.000531706027686596,1.13143782537461E-11
2.88403153419495,1,0.000536588369868696,1.14439594953164E-11
2.89734363555908,1,0.000541515240911394,1.15751453561019E-11
2.91071701049805,1,0.000546486931852996,1.17079575201462E-11
2.92415237426758,1,0.00055150396656245,1.18424168041309E-11
2.93764972686768,1,0.00055656663607806,1.1978546626823E-11
2.95120930671692,1,0.000561675464268774,1.21163669375424E-11
2.96483135223389,1,0.000566830800380558,1.22559020224178E-11
2.97851634025574,1,0.000572033051867038,1.23971735654926E-11
2.99226474761963,1,0.000577282626181841,1.25402049855339E-11
3.00607633590698,1,0.000582580047193915,1.26850197013084E-11
3.01995182037354,1,0.000587925605941564,1.28316411315832E-11
3.03389120101929,1,0.000593319884501398,1.29800926951251E-11
3.0478949546814,1,0.000598763173911721,1.31303986780629E-11
3.06196331977844,1,0.000604255998041481,1.32825851012486E-11
3.07609677314758,1,0.000609798764344305,1.34366762508109E-11
3.09029531478882,1,0.00061539193848148,1.35926964128785E-11
3.10455965995789,1,0.000621035927906632,1.37506716083036E-11
3.11888957023621,1,0.000626731314696372,1.39106295926616E-11
3.13328576087952,1,0.000632478331681341,1.40725946520814E-11
3.14774823188782,1,0.000638277677353471,1.42365945421385E-11
3.16227769851685,1,0.000644129642751068,1.44026552836851E-11
3.1768741607666,1,0.0006500348681584,1.45708063670202E-11
3.19153785705566,1,0.000655993586406112,1.47410729456343E-11
3.20626926422119,1,0.000662006554193795,1.49134853771882E-11
3.22106885910034,1,0.000668074004352093,1.50880714172574E-11
3.23593664169312,1,0.000674196577165276,1.52648588214177E-11
3.25087308883667,1,0.00068037468008697,1.54438788146916E-11
3.26587843894959,1,0.000686608953401446,1.56251608873781E-11
3.28095293045044,1,0.000692899688147008,1.58087362644999E-11
3.29609704017639,1,0.000699247524607927,1.5994634436356E-11
3.3113112449646,1,0.000705652928445488,1.61828848932455E-11
3.32659554481506,1,0.000712116423528641,1.63735205949145E-11
3.34195041656494,1,0.000718638533726335,1.65665727663855E-11
3.35737609863281,1,0.000725219724699855,1.67620761021281E-11
3.37287306785583,1,0.000731860578525811,1.69600600924413E-11
3.38844156265259,1,0.000738561677280813,1.71605594317947E-11
3.40408182144165,1,0.000745323428418487,1.73636088146578E-11
3.41979432106018,1,0.000752146414015442,1.75692412007766E-11
3.43557953834534,1,0.000759031157940626,1.77774912846207E-11
